Province,Daily_Case,Daily_Death,Daily_Recovered,Daily_Active_Case,Cumulative_Case,Cumulative_Recovered,Cumulative_Death,Cumulative_Active_Case
ACEH,11237,449,9785,1003,1995884,1537250,79429,379205
BALI,44896,1231,41985,1680,5689598,5100446,151968,437184
BANTEN,47451,1207,44197,2047,5276319,4847946,154955,273418
BENGKULU,6959,173,5939,847,804077,689618,26581,87878
DIY,39824,965,35045,3814,3984843,3098072,95229,791542
DKI,410363,6671,396605,7087,54624184,49955230,1005109,3663845
GORONTALO,5400,165,5080,155,1006818,908157,28354,70307
JAMBI,7808,115,6248,1445,850420,619647,12822,217951
JABAR,282631,3753,248235,30643,29731302,24612178,408546,4710578
JATENG,184620,8236,166003,10381,23371120,16780356,1025360,5565404
JATIM,148183,10706,135279,2198,23605766,20717979,1789746,1098041
KALIMANTAN BARAT,7931,43,6900,988,865981,751258,5741,108982
KALIMANTAN SELATAN,33058,949,30001,2108,4724051,3983943,171399,568709
KALIMANTAN TENGAH,20228,453,16996,2779,2535757,2032437,65748,437572
KALIMANTAN TIMUR,68817,1640,65519,1658,8304111,7125928,215204,962979
KALIMANTAN UTARA,11786,186,11035,565,1278547,958913,18024,301610
KEPULAUAN BANGKA BELITUNG,13739,217,11836,1686,1006906,872621,15955,118330
KEPULAUAN RIAU,11500,257,9769,1474,1587498,1366992,40638,179868
LAMPUNG,16116,816,13948,1352,1784634,1422438,90217,271979
MALUKU,7535,118,7137,280,1393520,1148224,20288,225008
MALUKU UTARA,4417,120,4147,150,842875,666677,26300,149898
NUSA TENGGARA BARAT,10488,389,7879,2220,1695493,1316334,74840,304319
NUSA TENGGARA TIMUR,14636,376,12736,1524,1189604,877421,30507,281676
PAPUA,20365,207,11315,8843,3362756,1823830,38203,1500723
PAPUA BARAT,8986,150,8550,286,1413110,1242545,22559,148006
RIAU,45237,1115,39006,5116,5710053,5057577,135260,517216
SULAWESI BARAT,5472,119,5259,94,706829,562190,13795,130844
SULAWESI SELATAN,61524,934,60288,302,9456105,8330883,180060,945162
SULAWESI TENGAH,12316,335,11225,756,1306638,1029238,35691,241709
SULAWESI TENGGARA,10427,210,9886,331,1834914,1547744,34283,252887
SULAWESI UTARA,15657,507,13240,1910,2623790,1989220,92423,542147
SUMATERA BARAT,37380,809,34144,2427,5347972,4695447,117001,535524
SUMATERA SELATAN,20725,1006,18131,1588,3191000,2569480,159055,462465
SUMATERA UTARA,29522,976,26250,2296,4839741,3937243,180708,721790
