Date,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
3/2/2020,2,0,0,2,2,0,0,2,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
3/3/2020,0,0,0,0,2,0,0,2,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0
3/4/2020,0,0,0,0,2,0,0,2,0.0,0.01,0.0,0.0,0.0,0.0,1.0,1.0
3/5/2020,0,0,0,0,2,0,0,2,0.0,0.01,0.0,0.0,0.0,0.0,1.0,1.0
3/6/2020,2,0,0,2,4,0,0,4,0.01,0.02,0.0,0.0,0.0,0.0,0.0,1.0
3/7/2020,0,0,0,0,4,0,0,4,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0
3/8/2020,2,0,0,2,6,0,0,6,0.01,0.02,0.0,0.0,0.0,0.0,0.0,1.0
3/9/2020,13,0,0,13,19,0,0,19,0.05,0.07,0.0,0.0,0.0,0.0,6.5,1.0
3/10/2020,8,0,2,6,27,0,2,25,0.03,0.1,0.0,0.0,0.0,7.41,0.62,1.0
3/11/2020,7,1,0,6,34,1,2,31,0.03,0.13,0.0,0.0,2.94,5.88,0.88,0.0
3/12/2020,0,0,0,0,34,1,2,31,0.0,0.13,0.0,0.0,2.94,5.88,0.0,0.0
3/13/2020,35,3,0,32,69,4,2,63,0.13,0.26,0.01,0.02,5.8,2.9,0.0,0.0
3/14/2020,27,1,6,20,96,5,8,83,0.1,0.36,0.0,0.02,5.21,8.33,0.77,0.33
3/15/2020,21,0,0,21,117,5,8,104,0.08,0.44,0.0,0.02,4.27,6.84,0.78,0.0
3/16/2020,17,0,0,17,134,5,8,121,0.06,0.51,0.0,0.02,3.73,5.97,0.81,1.0
3/17/2020,38,0,1,37,172,5,9,158,0.14,0.65,0.0,0.02,2.91,5.23,2.24,1.0
3/18/2020,55,14,2,39,227,19,11,197,0.21,0.86,0.05,0.07,8.37,4.85,1.45,0.0
3/19/2020,82,6,4,72,309,25,15,269,0.31,1.17,0.02,0.09,8.09,4.85,1.49,0.43
3/20/2020,60,7,2,51,369,32,17,320,0.23,1.39,0.03,0.12,8.67,4.61,0.73,1.17
3/21/2020,81,6,3,72,450,38,20,392,0.31,1.7,0.02,0.14,8.44,4.44,1.35,0.86
3/22/2020,64,10,9,45,514,48,29,437,0.24,1.94,0.04,0.18,9.34,5.64,0.79,1.67
3/23/2020,65,1,1,63,579,49,30,500,0.25,2.18,0.0,0.18,8.46,5.18,1.02,0.1
3/24/2020,106,6,0,100,685,55,30,600,0.4,2.58,0.02,0.21,8.03,4.38,1.63,6.0
3/25/2020,105,3,1,101,790,58,31,701,0.4,2.98,0.01,0.22,7.34,3.92,0.99,0.5
3/26/2020,103,20,4,79,893,78,35,780,0.39,3.37,0.08,0.29,8.73,3.92,0.98,6.67
3/27/2020,153,9,11,133,1046,87,46,913,0.58,3.94,0.03,0.33,8.32,4.4,1.49,0.45
3/28/2020,109,15,13,81,1155,102,59,994,0.41,4.36,0.06,0.38,8.83,5.11,0.71,1.67
3/29/2020,130,12,5,113,1285,114,64,1107,0.49,4.85,0.05,0.43,8.87,4.98,1.19,0.8
3/30/2020,129,8,11,110,1414,122,75,1217,0.49,5.33,0.03,0.46,8.63,5.3,0.99,0.67
3/31/2020,114,14,6,94,1528,136,81,1311,0.43,5.76,0.05,0.51,8.9,5.3,0.88,1.75
4/1/2020,149,21,22,106,1677,157,103,1417,0.56,6.32,0.08,0.59,9.36,6.14,1.31,1.5
4/2/2020,113,13,9,91,1790,170,112,1508,0.43,6.75,0.05,0.64,9.5,6.26,0.76,0.62
4/3/2020,196,11,22,163,1986,181,134,1671,0.74,7.49,0.04,0.68,9.11,6.75,1.73,0.85
4/4/2020,106,10,16,80,2092,191,150,1751,0.4,7.89,0.04,0.72,9.13,7.17,0.54,0.91
4/5/2020,181,7,14,160,2273,198,164,1911,0.68,8.57,0.03,0.75,8.71,7.22,1.71,0.7
4/6/2020,218,11,28,179,2491,209,192,2090,0.82,9.39,0.04,0.79,8.39,7.71,1.2,1.57
4/7/2020,247,12,12,223,2738,221,204,2313,0.93,10.32,0.05,0.83,8.07,7.45,1.13,1.09
4/8/2020,218,19,18,181,2956,240,222,2494,0.82,11.15,0.07,0.91,8.12,7.51,0.88,1.58
4/9/2020,337,40,30,267,3293,280,252,2761,1.27,12.42,0.15,1.06,8.5,7.65,1.55,2.11
4/10/2020,219,26,30,163,3512,306,282,2924,0.83,13.24,0.1,1.15,8.71,8.03,0.65,0.65
4/11/2020,330,21,4,305,3842,327,286,3229,1.24,14.49,0.08,1.23,8.51,7.44,1.51,0.81
4/12/2020,399,46,73,280,4241,373,359,3509,1.5,15.99,0.17,1.41,8.8,8.46,1.21,2.19
4/13/2020,316,26,21,269,4557,399,380,3778,1.19,17.18,0.1,1.5,8.76,8.34,0.79,0.57
4/14/2020,282,60,46,176,4839,459,426,3954,1.06,18.25,0.23,1.73,9.49,8.8,0.89,2.31
4/15/2020,297,10,20,267,5136,469,446,4221,1.12,19.37,0.04,1.77,9.13,8.68,1.05,0.17
4/16/2020,380,27,102,251,5516,496,548,4472,1.43,20.8,0.1,1.87,8.99,9.93,1.28,2.7
4/17/2020,407,24,59,324,5923,520,607,4796,1.53,22.34,0.09,1.96,8.78,10.25,1.07,0.89
4/18/2020,325,15,24,286,6248,535,631,5082,1.23,23.56,0.06,2.02,8.56,10.1,0.8,0.63
4/19/2020,327,47,55,225,6575,582,686,5307,1.23,24.79,0.18,2.19,8.85,10.43,1.01,3.13
4/20/2020,185,8,61,116,6760,590,747,5423,0.7,25.49,0.03,2.22,8.73,11.05,0.57,0.17
4/21/2020,375,26,95,254,7135,616,842,5677,1.41,26.91,0.1,2.32,8.63,11.8,2.03,3.25
4/22/2020,283,19,71,193,7418,635,913,5870,1.07,27.97,0.07,2.39,8.56,12.31,0.75,0.73
4/23/2020,357,12,47,298,7775,647,960,6168,1.35,29.32,0.05,2.44,8.32,12.35,1.26,0.63
4/24/2020,436,42,42,352,8211,689,1002,6520,1.64,30.96,0.16,2.6,8.39,12.2,1.22,3.5
4/25/2020,396,31,40,325,8607,720,1042,6845,1.49,32.46,0.12,2.72,8.37,12.11,0.91,0.74
4/26/2020,275,23,65,187,8882,743,1107,7032,1.04,33.49,0.09,2.8,8.37,12.46,0.69,0.74
4/27/2020,214,22,44,148,9096,765,1151,7180,0.81,34.3,0.08,2.88,8.41,12.65,0.78,0.96
4/28/2020,415,8,103,304,9511,773,1254,7484,1.56,35.87,0.03,2.91,8.13,13.18,1.94,0.36
4/29/2020,260,11,137,112,9771,784,1391,7596,0.98,36.85,0.04,2.96,8.02,14.24,0.63,1.38
4/30/2020,347,8,131,208,10118,792,1522,7804,1.31,38.15,0.03,2.99,7.83,15.04,1.33,0.73
5/1/2020,433,8,69,356,10551,800,1591,8160,1.63,39.79,0.03,3.02,7.58,15.08,1.25,1.0
5/2/2020,292,31,74,187,10843,831,1665,8347,1.1,40.89,0.12,3.13,7.66,15.36,0.67,3.88
5/3/2020,349,14,211,124,11192,845,1876,8471,1.32,42.2,0.05,3.19,7.55,16.76,1.2,0.45
5/4/2020,395,19,78,298,11587,864,1954,8769,1.49,43.69,0.07,3.26,7.46,16.86,1.13,1.36
5/5/2020,484,8,243,233,12071,872,2197,9002,1.83,45.52,0.03,3.29,7.22,18.2,1.23,0.42
5/6/2020,367,23,120,224,12438,895,2317,9226,1.38,46.9,0.09,3.37,7.2,18.63,0.76,2.88
5/7/2020,338,35,64,239,12776,930,2381,9465,1.27,48.18,0.13,3.51,7.28,18.64,0.92,1.52
5/8/2020,336,13,113,210,13112,943,2494,9675,1.27,49.44,0.05,3.56,7.19,19.02,0.99,0.37
5/9/2020,533,16,113,404,13645,959,2607,10079,2.01,51.45,0.06,3.62,7.03,19.11,1.59,1.23
5/10/2020,387,14,91,282,14032,973,2698,10361,1.46,52.91,0.05,3.67,6.93,19.23,0.73,0.88
5/11/2020,233,18,183,32,14265,991,2881,10393,0.88,53.79,0.07,3.74,6.95,20.2,0.6,1.29
5/12/2020,484,16,182,286,14749,1007,3063,10679,1.83,55.62,0.06,3.8,6.83,20.77,2.08,0.89
5/13/2020,689,21,224,444,15438,1028,3287,11123,2.6,58.22,0.08,3.88,6.66,21.29,1.42,1.31
5/14/2020,568,15,231,322,16006,1043,3518,11445,2.14,60.36,0.06,3.93,6.52,21.98,0.82,0.71
5/15/2020,490,33,285,172,16496,1076,3803,11617,1.85,62.21,0.12,4.06,6.52,23.05,0.86,2.2
5/16/2020,529,13,108,408,17025,1089,3911,12025,1.99,64.2,0.05,4.11,6.4,22.97,1.08,0.39
5/17/2020,489,59,218,212,17514,1148,4129,12237,1.84,66.04,0.22,4.33,6.55,23.58,0.92,4.54
